Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","447455","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","827508","","Official data"
"QL","Livestock Primary","4","Algeria","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","6280856","","Official data"
"QL","Livestock Primary","5","American Samoa","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","628","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","96000","F","FAO estimate"
"QL","Livestock Primary","8","Antigua and Barbuda","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","5443","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","9","Argentina","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","13158150","","Official data"
"QL","Livestock Primary","1","Armenia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","726800","","Official data"
"QL","Livestock Primary","10","Australia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","4315471","","Official data"
"QL","Livestock Primary","11","Austria","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2057822","","Official data"
"QL","Livestock Primary","52","Azerbaijan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1676213","","Official data"
"QL","Livestock Primary","12","Bahamas","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","21878","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","13","Bahrain","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","58350","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","16","Bangladesh","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","10864000","*","Unofficial figure"
"QL","Livestock Primary","14","Barbados","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","58604","*","Unofficial figure"
"QL","Livestock Primary","57","Belarus","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","3564300","F","FAO estimate"
"QL","Livestock Primary","255","Belgium","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2988808","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","23","Belize","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","61261","","Official data"
"QL","Livestock Primary","53","Benin","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","303685","","Official data"
"QL","Livestock Primary","17","Bermuda","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","7305","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","18","Bhutan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","90000","F","FAO estimate"
"QL","Livestock Primary","19","Bolivia (Plurinational State of)","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2242499","","Official data"
"QL","Livestock Primary","80","Bosnia and Herzegovina","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","660248","","Official data"
"QL","Livestock Primary","20","Botswana","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","73500","F","FAO estimate"
"QL","Livestock Primary","21","Brazil","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","53312256","","Official data"
"QL","Livestock Primary","26","Brunei Darussalam","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","154621","","Official data"
"QL","Livestock Primary","27","Bulgaria","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1273574","","Official data"
"QL","Livestock Primary","233","Burkina Faso","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1377489","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","29","Burundi","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","65500","F","FAO estimate"
"QL","Livestock Primary","35","Cabo Verde","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","42257","","Official data"
"QL","Livestock Primary","115","Cambodia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","480000","F","FAO estimate"
"QL","Livestock Primary","32","Cameroon","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","469413","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","33","Canada","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","9601752","","Official data"
"QL","Livestock Primary","37","Central African Republic","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","50850","F","FAO estimate"
"QL","Livestock Primary","39","Chad","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","91700","F","FAO estimate"
"QL","Livestock Primary","40","Chile","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","4117620","","Official data"
"QL","Livestock Primary","351","China","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","465779283","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QL","Livestock Primary","96","China, Hong Kong SAR","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","10780","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","128","China, Macao SAR","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","8500","F","FAO estimate"
"QL","Livestock Primary","41","China, mainland","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","458448000","F","FAO estimate"
"QL","Livestock Primary","214","China, Taiwan Province of","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","7312003","","Official data"
"QL","Livestock Primary","44","Colombia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","13000000","F","FAO estimate"
"QL","Livestock Primary","45","Comoros","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","19000","F","FAO estimate"
"QL","Livestock Primary","46","Congo","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","45127","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","47","Cook Islands","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","700","F","FAO estimate"
"QL","Livestock Primary","48","Costa Rica","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1038500","*","Unofficial figure"
"QL","Livestock Primary","107","Côte d'Ivoire","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","821000","F","FAO estimate"
"QL","Livestock Primary","98","Croatia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","780000","F","FAO estimate"
"QL","Livestock Primary","49","Cuba","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2778800","","Official data"
"QL","Livestock Primary","50","Cyprus","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","180240","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","167","Czechia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1522290","","Official data"
"QL","Livestock Primary","116","Democratic People's Republic of Korea","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2394821","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","250","Democratic Republic of the Congo","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","242227","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","54","Denmark","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1430233","","Official data"
"QL","Livestock Primary","55","Dominica","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","5450","F","FAO estimate"
"QL","Livestock Primary","56","Dominican Republic","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2080000","","Official data"
"QL","Livestock Primary","58","Ecuador","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2309424","*","Unofficial figure"
"QL","Livestock Primary","59","Egypt","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","8794335","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","60","El Salvador","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1250000","F","FAO estimate"
"QL","Livestock Primary","61","Equatorial Guinea","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","5550","F","FAO estimate"
"QL","Livestock Primary","178","Eritrea","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","56026","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","63","Estonia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","201457","","Official data"
"QL","Livestock Primary","209","Eswatini","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","20022","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","238","Ethiopia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1159134","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","66","Fiji","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","182960","*","Unofficial figure"
"QL","Livestock Primary","67","Finland","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1188571","","Official data"
"QL","Livestock Primary","68","France","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","14191136","","Official data"
"QL","Livestock Primary","69","French Guyana","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","12400","","Official data"
"QL","Livestock Primary","70","French Polynesia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","44611","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","74","Gabon","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","47980","F","FAO estimate"
"QL","Livestock Primary","75","Gambia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","20271","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","73","Georgia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","634800","","Official data"
"QL","Livestock Primary","79","Germany","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","12325497","","Official data"
"QL","Livestock Primary","81","Ghana","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1021618","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","84","Greece","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1385000","F","FAO estimate"
"QL","Livestock Primary","86","Grenada","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","28300","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","87","Guadeloupe","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","36250","F","FAO estimate"
"QL","Livestock Primary","88","Guam","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","16617","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","89","Guatemala","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","5505000","F","FAO estimate"
"QL","Livestock Primary","90","Guinea","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","707943","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","175","Guinea-Bissau","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","33410","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","91","Guyana","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","35358","","Official data"
"QL","Livestock Primary","93","Haiti","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","101550","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","95","Honduras","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","877400","F","FAO estimate"
"QL","Livestock Primary","97","Hungary","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2501800","","Official data"
"QL","Livestock Primary","99","Iceland","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","80000","*","Unofficial figure"
"QL","Livestock Primary","100","India","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","95217000","","Official data"
"QL","Livestock Primary","101","Indonesia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","38243000","*","Unofficial figure"
"QL","Livestock Primary","102","Iran (Islamic Republic of)","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","12060000","F","FAO estimate"
"QL","Livestock Primary","103","Iraq","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","971905","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","104","Ireland","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","794226","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","105","Israel","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2345070","","Official data"
"QL","Livestock Primary","106","Italy","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","13150000","","Official data"
"QL","Livestock Primary","109","Jamaica","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","192205","","Official data"
"QL","Livestock Primary","110","Japan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","43796067","","Official data"
"QL","Livestock Primary","112","Jordan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","886686","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","108","Kazakhstan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","5575355","","Official data"
"QL","Livestock Primary","114","Kenya","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1856710","","Official data"
"QL","Livestock Primary","83","Kiribati","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","5444","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","118","Kuwait","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2181967","","Official data"
"QL","Livestock Primary","113","Kyrgyzstan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","533242","","Official data"
"QL","Livestock Primary","120","Lao People's Democratic Republic","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","315078","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","119","Latvia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","753247","","Official data"
"QL","Livestock Primary","121","Lebanon","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","500000","F","FAO estimate"
